n,residue,M,event_A,event_B,stopping_time,mean_traj_event_A
66519060,20,12,0,1,69,0.405797
237469716,20,12,0,1,158,0.525316
241352724,20,12,0,1,93,0.451613
188022804,20,12,0,1,107,0.476636
163639316,20,12,0,1,102,0.470588
214429716,20,12,0,1,85,0.435294
182198292,20,12,0,1,164,0.530488
264302612,20,12,0,1,79,0.417722
60719124,20,12,0,1,145,0.524138
202702868,20,12,0,1,107,0.476636
205295636,20,12,0,1,58,0.344828
109477908,20,12,0,1,149,0.52349
2080788,20,12,0,1,110,0.518182
149049364,20,12,0,1,94,0.457447
106774548,20,12,0,1,122,0.5
247812116,20,12,0,1,90,0.444444
219562004,20,12,0,1,158,0.525316
163930133,21,12,1,0,91,0.43956
91439125,21,12,1,0,106,0.471698
241266709,21,12,1,0,112,0.473214
105959445,21,12,1,0,130,0.5
192966677,21,12,1,0,210,0.547619
1892373,21,12,1,0,86,0.476744
208932885,21,12,1,0,142,0.507042
228638741,21,12,1,0,101,0.455446
217571349,21,12,1,0,131,0.496183
180396053,21,12,1,0,64,0.359375
36372501,21,12,1,0,65,0.384615
264519701,21,12,1,0,82,0.414634
132947989,21,12,1,0,200,0.545
156172309,21,12,1,0,140,0.507143
11157525,21,12,1,0,95,0.473684
218509333,21,12,1,0,77,0.402597
83800085,21,12,1,0,90,0.444444
213311509,21,12,1,0,188,0.537234
145096725,21,12,1,0,162,0.524691
95645717,21,12,1,0,68,0.382353
39415829,21,12,1,0,73,0.410959
5439509,21,12,1,0,75,0.44
187613205,21,12,1,0,145,0.510345
142049301,21,12,1,0,100,0.46
220729366,22,12,0,1,150,0.52
163033110,22,12,0,1,167,0.532934
81645590,22,12,0,1,63,0.380952
248074262,22,12,0,1,147,0.517007
139239446,22,12,0,1,86,0.44186
260141078,22,12,0,1,66,0.378788
91066390,22,12,0,1,174,0.54023
250777622,22,12,0,1,166,0.53012
24371222,22,12,0,1,93,0.473118
145395734,22,12,0,1,67,0.38806
52953110,22,12,0,1,67,0.402985
226881558,22,12,0,1,215,0.553488
37449750,22,12,0,1,157,0.535032
190685206,22,12,0,1,88,0.443182
35971094,22,12,0,1,122,0.508197
237559830,22,12,0,1,120,0.491667
10600470,22,12,0,1,52,0.365385
88121366,22,12,0,1,79,0.43038
86773782,22,12,0,1,90,0.455556
49958934,22,12,0,1,140,0.521429
215781398,22,12,0,1,123,0.495935
148070422,22,12,0,1,97,0.463918
163426326,22,12,0,1,91,0.450549
112148502,22,12,0,1,149,0.52349
111513623,23,12,1,0,149,0.516779
127365143,23,12,1,0,173,0.531792
179286039,23,12,1,0,72,0.388889
144457751,23,12,1,0,97,0.453608
36806679,23,12,1,0,111,0.486486
40206359,23,12,1,0,81,0.432099
197681175,23,12,1,0,145,0.510345
251224087,23,12,1,0,71,0.380282
26705943,23,12,1,0,66,0.393939
90492951,23,12,1,0,79,0.417722
159387671,23,12,1,0,83,0.421687
144830487,23,12,1,0,189,0.539683
191049751,23,12,1,0,126,0.492063
124616727,23,12,1,0,138,0.507246
210755607,23,12,1,0,88,0.431818
214597655,23,12,1,0,88,0.431818
92536855,23,12,1,0,163,0.527607
259645463,23,12,1,0,98,0.44898
139333655,23,12,1,0,143,0.51049
176979991,23,12,1,0,137,0.50365
119357463,23,12,1,0,100,0.46
138928151,23,12,1,0,143,0.51049
131121175,23,12,1,0,127,0.496063
16396311,23,12,1,0,105,0.485714
216145944,24,12,0,1,112,0.482143
169938968,24,12,0,1,72,0.402778
231804952,24,12,0,1,158,0.525316
133373976,24,12,0,1,97,0.463918
144470040,24,12,0,1,105,0.47619
101953560,24,12,0,1,103,0.475728
38944792,24,12,0,1,111,0.495495
88924184,24,12,0,1,82,0.439024
238145560,24,12,0,1,82,0.426829
79556632,24,12,0,1,82,0.439024
140652568,24,12,0,1,86,0.44186
246636568,24,12,0,1,90,0.444444
87261208,24,12,0,1,128,0.507812
74424344,24,12,0,1,112,0.491071
74141720,24,12,0,1,112,0.491071
236589080,24,12,0,1,120,0.491667
193859608,24,12,0,1,69,0.391304
166305816,24,12,0,1,75,0.413333
215154712,24,12,0,1,150,0.52
129114136,24,12,0,1,100,0.47
62189592,24,12,0,1,61,0.377049
110698520,24,12,0,1,57,0.350877
164012056,24,12,0,1,167,0.532934
36630552,24,12,0,1,65,0.4
57118745,25,12,1,0,72,0.402778
122204185,25,12,1,0,108,0.472222
213143577,25,12,1,0,188,0.537234
172535833,25,12,1,0,102,0.460784
264335385,25,12,1,0,144,0.506944
53674009,25,12,1,0,110,0.481818
100270105,25,12,1,0,141,0.510638
24150041,25,12,1,0,66,0.393939
29712409,25,12,1,0,128,0.507812
12501017,25,12,1,0,103,0.485437
116264985,25,12,1,0,241,0.560166
18636825,25,12,1,0,121,0.504132
265461785,25,12,1,0,128,0.492188
237453337,25,12,1,0,139,0.503597
183848985,25,12,1,0,137,0.50365
147415065,25,12,1,0,132,0.5
63389721,25,12,1,0,88,0.443182
92712985,25,12,1,0,125,0.496
51130393,25,12,1,0,70,0.4
119222297,25,12,1,0,65,0.369231
214593561,25,12,1,0,85,0.423529
125210649,25,12,1,0,146,0.513699
265764889,25,12,1,0,174,0.528736
241496089,25,12,1,0,120,0.483333
202883098,26,12,0,1,115,0.486957
90517530,26,12,0,1,136,0.514706
124403738,26,12,0,1,73,0.410959
126562330,26,12,0,1,135,0.511111
152281114,26,12,0,1,178,0.539326
248344602,26,12,0,1,147,0.517007
209162266,26,12,0,1,123,0.495935
113770522,26,12,0,1,176,0.539773
242503706,26,12,0,1,139,0.510791
138448922,26,12,0,1,124,0.5
177233946,26,12,0,1,156,0.525641
266469402,26,12,0,1,144,0.513889
59564058,26,12,0,1,164,0.536585
114810906,26,12,0,1,100,0.47
42336282,26,12,0,1,100,0.48
24813594,26,12,0,1,66,0.409091
8278042,26,12,0,1,58,0.396552
2809882,26,12,0,1,104,0.509615
257912858,26,12,0,1,147,0.517007
171573274,26,12,0,1,99,0.464646
205701146,26,12,0,1,96,0.458333
154198042,26,12,0,1,102,0.470588
105164826,26,12,0,1,103,0.475728
214712346,26,12,0,1,85,0.435294
85938203,27,12,1,0,212,0.551887
81752091,27,12,1,0,128,0.5
16355355,27,12,1,0,132,0.515152
8151067,27,12,1,0,96,0.479167
207917083,27,12,1,0,245,0.559184
77942811,27,12,1,0,139,0.510791
30666779,27,12,1,0,87,0.448276
203739163,27,12,1,0,115,0.478261
136458267,27,12,1,0,162,0.524691
69783579,27,12,1,0,104,0.471154
42692635,27,12,1,0,108,0.481481
248512539,27,12,1,0,231,0.554113
162889755,27,12,1,0,167,0.526946
7753755,27,12,1,0,77,0.441558
19046427,27,12,1,0,156,0.532051
32669723,27,12,1,0,236,0.563559
69218331,27,12,1,0,161,0.52795
22986779,27,12,1,0,123,0.504065
146886683,27,12,1,0,132,0.5
63049755,27,12,1,0,183,0.540984
232202267,27,12,1,0,223,0.55157
48877595,27,12,1,0,151,0.523179
102068251,27,12,1,0,179,0.536313
14831643,27,12,1,0,143,0.524476
268255260,28,12,0,1,155,0.522581
69963804,28,12,0,1,104,0.480769
149934108,28,12,0,1,197,0.548223
103043100,28,12,0,1,114,0.491228
240259100,28,12,0,1,112,0.482143
209223708,28,12,0,1,115,0.486957
177066012,28,12,0,1,137,0.510949
143867932,28,12,0,1,113,0.486726
139505692,28,12,0,1,105,0.47619
130510876,28,12,0,1,135,0.511111
131764252,28,12,0,1,78,0.423077
32313372,28,12,0,1,152,0.532895
94101532,28,12,0,1,163,0.533742
187699228,28,12,0,1,107,0.476636
230035484,28,12,0,1,177,0.536723
32645148,28,12,0,1,79,0.443038
189640732,28,12,0,1,126,0.5
221540380,28,12,0,1,188,0.542553
107036700,28,12,0,1,130,0.507692
227700764,28,12,0,1,74,0.405405
37629980,28,12,0,1,103,0.485437
143396892,28,12,0,1,124,0.5
38809628,28,12,0,1,157,0.535032
135069724,28,12,0,1,124,0.5
95338525,29,12,1,0,87,0.436782
51847197,29,12,1,0,94,0.457447
81076253,29,12,1,0,66,0.378788
31522845,29,12,1,0,125,0.504
109174813,29,12,1,0,168,0.529762
229838877,29,12,1,0,196,0.540816
24109085,29,12,1,0,112,0.491071
28356637,29,12,1,0,63,0.380952
48975901,29,12,1,0,124,0.5
251883549,29,12,1,0,82,0.414634
198778909,29,12,1,0,96,0.447917
53305373,29,12,1,0,213,0.553991
167874589,29,12,1,0,129,0.496124
21540893,29,12,1,0,126,0.507937
67985437,29,12,1,0,96,0.458333
17817629,29,12,1,0,110,0.490909
238022685,29,12,1,0,101,0.455446
68829213,29,12,1,0,134,0.507463
212168733,29,12,1,0,69,0.376812
239493149,29,12,1,0,120,0.483333
13217821,29,12,1,0,119,0.504202
144953373,29,12,1,0,113,0.477876
48521245,29,12,1,0,67,0.38806
134225949,29,12,1,0,78,0.410256
174706718,30,12,0,1,156,0.525641
46059550,30,12,0,1,162,0.537037
162050078,30,12,0,1,78,0.423077
18358302,30,12,0,1,102,0.490196
206286878,30,12,0,1,142,0.514085
31227934,30,12,0,1,68,0.411765
140128286,30,12,0,1,116,0.491379
168153118,30,12,0,1,105,0.47619
69799966,30,12,0,1,77,0.428571
139751454,30,12,0,1,143,0.517483
